id,final_pred,gold,final_correct,has_wrong_equation,num_equations_found,examples,process_wrong_but_answer_correct
train_GSM8K_Q552,55,4,False,True,3,"[' = 4', ' x 0.6 = 2.4', ' x 0.621371) / 1.85 = 3.55']",False
train_GSM8K_Q565,15,15,True,True,4,"[' 100 / 2 = 50', ' 50 + 35 = 85', ' = 100']",True
train_GSM8K_Q592,24,2,False,True,3,"[' = 3', '*80 = 240', ' 240/10 = 24']",False
train_GSM8K_Q643,15,15,True,False,2,"[' 10 + 15 + 5 = 30', ' 30 / 2 = 15']",False
train_GSM8K_Q667,135,125,False,True,3,"['\n5x + 5x = 150', '\n10x = 150', '\nx = 15']",False
train_GSM8K_Q722,2200,2200,True,False,0,[],False
train_GSM8K_Q724,3,3,True,False,0,[],False
train_GSM8K_Q751,48,48,True,True,3,"[' = 4', '*6 = 24', ' = 24']",True
train_GSM8K_Q856,100,1700,False,False,0,[],False
train_GSM8K_Q866,65,65,True,True,4,"[' 60 + 5 = 65', ' = 20', '*3 = 60']",True
train_GSM8K_Q867,44,100,False,True,4,"[' 5*6 = 30', ' + 2*2 = 4', ' = 34']",False
train_GSM8K_Q938,35,35,True,False,0,[],False
train_GSM8K_Q945,7,7,True,False,2,"[' 5 + 9 = 14', ' 14 / 2 = 7']",False
train_GSM8K_Q953,200,200,True,True,2,"[' 50*3 = 150', ' = 200']",True
train_GSM8K_Q955,30,1200,False,False,1,[' 10*3 = 30'],False
train_GSM8K_Q960,25,25,True,True,3,"[' = 50', ' + 150 = 200', ' (50 / 200) x 100 = 25']",True
train_GSM8K_Q967,96,192,False,False,1,[' 24*4 = 96'],False
train_GSM8K_Q972,12,12,True,False,0,[],False
train_GSM8K_Q1005,1260,1260,True,False,1,[' 6*7 = 42'],False
train_GSM8K_Q1009,20,4,False,True,3,"[' (20 - 12 = 8', ' (8 - 4 = 4', ' (20 - 4 = 6']",False
train_GSM8K_Q1014,10,2,False,False,2,"['10 = 10', '10 = 10']",False
train_GSM8K_Q1100,20,10,False,True,2,"[' = 20', ' = 20']",False
train_GSM8K_Q1125,2,14,False,False,0,[],False
train_GSM8K_Q1200,5,3,False,True,1,[' = 5'],False
train_GSM8K_Q1259,15,1350,False,True,3,"[' = 90', ' = 450', ' = 40,500']",False
train_GSM8K_Q1265,25200,2520000,False,True,4,"[' = 21', '*12 = 252', ' = 252']",False
train_GSM8K_Q1281,240,240,True,False,0,[],False
train_GSM8K_Q1301,480,10,False,True,2,"[' = 120', ' x 4 = 480']",False
train_GSM8K_Q1316,27,27,True,False,2,"[' 5*7 = 35', ' 35 - 8 = 27']",False
train_GSM8K_Q1332,40,40,True,True,2,"[' = 5', ' = 40']",True
train_GSM8K_Q1349,5,50,False,False,0,[],False
train_GSM8K_Q1356,280,280,True,False,2,"[' 6*40 = 240', ' 40 + 240 = 280']",False
train_GSM8K_Q1365,8700,7100,False,False,0,[],False
train_GSM8K_Q1367,35,55,False,True,3,"[' = 20', ' + (15 - 0)\n= 20', ' + 15\n= 35']",False
train_GSM8K_Q1387,4,4,True,True,1,[' x = 4'],True
train_GSM8K_Q1398,3,3,True,True,4,"[' = 2', ' = 9', ' = 9']",True
train_GSM8K_Q1401,2,22,False,True,21,"[' = 2', ' = 6', ' = 2']",False
train_GSM8K_Q1420,20,6,False,True,1,[') = 20'],False
train_GSM8K_Q1422,63,35,False,True,5,"['\n84 - 21 = 63', ' 21/2 = 10.5', ' 28/2 = 14']",False
train_GSM8K_Q1427,12,12,True,True,2,"[' = 300', ' = 12']",True
train_GSM8K_Q1432,5,5,True,True,5,"[' = 120', ' = 40', ' = 200']",True
train_GSM8K_Q1440,15,5,False,False,0,[],False
train_GSM8K_Q1451,25,25,True,True,5,"[' 40 - 4 = 36', ' 36 / 3 = 12', ' 12 + 10 = 22']",True
train_GSM8K_Q1454,16,16,True,True,1,[' = 16'],True
train_GSM8K_Q1492,100,100,True,False,2,"[' 20*15 = 300', ' 400 - 300 = 100']",False
train_GSM8K_Q1514,12,12,True,False,2,"[' 8/2 = 4', ' 3 × 4 = 12']",False
train_GSM8K_Q1530,2100,900,False,False,2,"[' 5,000 + 2,000 = 7,000', ' 7,000*0.3 = 2,100']",False
train_GSM8K_Q1605,5,5,True,True,2,"[' 3/4 + 2 = 5', ' 1/4*13 = 3']",True
train_GSM8K_Q1620,30,30,True,True,2,"[' (3*2 = 6', ' (6*5 = 30']",True
train_GSM8K_Q1625,36,18,False,False,0,[],False
train_GSM8K_Q1626,900,80,False,False,0,[],False
train_GSM8K_Q1646,15,15,True,False,0,[],False
train_GSM8K_Q1691,12,12,True,True,6,"[' = 7', '*1.5 = 10.5', ' = 9']",True
train_GSM8K_Q1720,0,120,False,False,0,[],False
train_GSM8K_Q1780,4380,4380,True,False,3,"[' 4*365 = 1460', ' 2*1460 = 2920', ' 1460 + 2920 = 4380']",False
train_GSM8K_Q1813,9,3,False,True,4,"[' = 7', ' = 6', ' = 3']",False
train_GSM8K_Q1857,45,45,True,False,3,"[' 3*10 = 30', ' 1*15 = 15', ' 30 + 15 = 45']",False
train_GSM8K_Q1859,0,200000,False,False,0,[],False
train_GSM8K_Q1918,10200,10200,True,False,0,[],False
train_GSM8K_Q1919,48,3,False,False,0,[],False
train_GSM8K_Q1942,84,216,False,True,5,"['x = 30', ' = 84', ' = 84']",False
train_GSM8K_Q1943,3,3,True,True,1,[' = 3'],True
train_GSM8K_Q1950,95,12,False,False,0,[],False
train_GSM8K_Q1952,5,10,False,False,3,"[' 100 - 5 = 95', ' 95 - 10 = 85', ' 85 - 10 = 75']",False
train_GSM8K_Q1977,26,22,False,False,0,[],False
train_GSM8K_Q2025,30,30,True,False,3,"['\n20 + 15 = 35', '\n3 + 2 = 5', '\n35 - 5 = 30']",False
train_GSM8K_Q2045,24,44,False,True,2,"[' = 2', ' = 24']",False
train_GSM8K_Q2070,62,62,True,False,2,"[' 80 - 24 = 56', ' 56 + 6 = 62']",False
train_GSM8K_Q2081,7,413,False,False,0,[],False
train_GSM8K_Q2106,8,80,False,False,0,[],False
train_GSM8K_Q2132,2,2,True,True,3,"[' = 4', ' = 4', ' = 1']",True
train_GSM8K_Q2153,68,14,False,True,7,"[' 5\n70 ÷ 5 = 14', '\n14*3 = 42', '\n70 ÷ 3 = 23']",False
train_GSM8K_Q2165,18,18,True,False,2,"[' 24 / 4 = 6', ' 24 - 6 = 18']",False
train_GSM8K_Q2203,100,100,True,False,2,"[' 5*2 = 10', ' 10*20 = 200']",False
train_GSM8K_Q2218,975,975,True,False,0,[],False
train_GSM8K_Q2228,19,19,True,True,3,"[' x 2 = 10', ' x 3 = 9', ' 10 + 9 = 19']",True
train_GSM8K_Q2232,3,3,True,False,4,"[' 3*2 = 6', ' 6*1 = 6', ' 6 + 6 = 12']",False
train_GSM8K_Q2239,43,43,True,False,2,"[' 80 - 12 = 68', ' 68 - 25 = 43']",False
train_GSM8K_Q2241,20,5,False,False,0,[],False
train_GSM8K_Q2254,14,14,True,False,0,[],False
train_GSM8K_Q2258,625,750,False,True,2,"[' 3/4*4,000 = 2,500', ' 1/4*2,500 = 625']",False
train_GSM8K_Q2298,900,900,True,False,2,"[' 9*2 = 18', ' 18*50 = 900']",False
train_GSM8K_Q2305,97,97,True,False,0,[],False
train_GSM8K_Q2308,12,12,True,True,2,"[' = 9', ' = 3']",True
train_GSM8K_Q2327,45,45,True,False,2,"[' 20*3 = 60', ' 60 - 15 = 45']",False
train_GSM8K_Q2336,4,6,False,False,1,[' 4/10 = 0.4'],False
train_GSM8K_Q2389,1260,1260,True,True,8,"[' = 40', ' = 50', ' = 14']",True
train_GSM8K_Q2401,9,9,True,False,0,[],False
train_GSM8K_Q2442,5,5,True,False,0,[],False
train_GSM8K_Q2448,21,21,True,False,1,[' 7*3 = 21'],False
train_GSM8K_Q2450,41,41,True,False,0,[],False
train_GSM8K_Q2456,184,184,True,False,0,[],False
train_GSM8K_Q2462,13000,14000,False,False,0,[],False
train_GSM8K_Q2476,75,75,True,True,2,"[' / 4 = 0.75', ' = 75']",True
train_GSM8K_Q2477,2000,2000,True,False,1,[' 80*5 = 400'],False
train_GSM8K_Q2484,7,7,True,False,0,[],False
train_GSM8K_Q2498,80,80,True,False,0,[],False
train_GSM8K_Q2507,8,8,True,True,1,[' 6 + (1/3) = 8'],True
train_GSM8K_Q2514,13,23,False,False,2,"[' 16 - 6 = 10', ' 16 - 3 = 13']",False
train_GSM8K_Q2546,6,6,True,False,2,"[' 3 + 2 = 5', ' 1 + 5 = 6']",False
train_GSM8K_Q2548,30,30,True,True,5,"[' = 3', ' = 300', ' = 10']",True
train_GSM8K_Q2557,51700,51700,True,True,4,"[' = 2000', ' = 35,700', ' = 16,000']",True
train_GSM8K_Q2561,147,153,False,False,0,[],False
train_GSM8K_Q2566,60,60,True,True,3,"[' = 120', ' = 1080', ' = 60']",True
train_GSM8K_Q2581,200,200,True,False,2,"[' 80*10 = 800', ' 800 / 4 = 200']",False
train_GSM8K_Q2615,1,3,False,False,4,"[' 12 - 2 = 10', ' 10 - 4 = 6', ' 6 / 2 = 3']",False
train_GSM8K_Q2622,12,16,False,True,1,[' 7 + 4 - 1 = 12'],False
train_GSM8K_Q2658,16,16,True,True,3,"[' = 12', ' 2*12 = 24', ' 24 - 8 = 16']",True
train_GSM8K_Q2676,660,660,True,False,2,"[' 300 + 60 = 360', ' 300 + 360 = 660']",False
train_GSM8K_Q2705,3077,2800,False,False,0,[],False
train_GSM8K_Q2711,21,21,True,True,3,"[' 2 + 3 + 6 = 11', ' 3 + 5 + 2 = 10', '.\n11 + 10 = 21']",True
train_GSM8K_Q2716,9,9,True,True,4,"[' = 7', ' + 11 + 9 = 27', ' = 27']",True
train_GSM8K_Q2726,130,50,False,True,4,"[' = 24', ' = 16', ') = 384']",False
train_GSM8K_Q2740,17600,17600,True,False,1,[' 5 - 2 = 3'],False
train_GSM8K_Q2746,12,12,True,False,2,"[' 19*2 = 38', ' 50 - 38 = 12']",False
train_GSM8K_Q2750,13,80,False,True,6,"[' 3x = 8', ' 2x = 8', ' 3x = 8']",False
train_GSM8K_Q2769,5,45,False,False,2,"[' 40 / 2 = 20', ' 25 - 20 = 5']",False
train_GSM8K_Q2772,2,3,False,False,4,"[' 2*5 = 10', ' 2*5 = 10', ' 2*5 = 10']",False
train_GSM8K_Q2791,63,2100,False,True,2,"[' 4 + 5 = 9', ' = 63']",False
train_GSM8K_Q2792,155,155,True,False,0,[],False
train_GSM8K_Q2793,70,35,False,True,5,"[' = 10', ' = 30', ' = 40']",False
train_GSM8K_Q2814,67,450,False,True,2,"['350 = 3', '350 = 3']",False
train_GSM8K_Q2832,7,7,True,True,5,"[' 42 = 14', ' 14 = 7', '.\n1/3 = 0.33']",True
train_GSM8K_Q2867,5,5,True,True,2,"[' 6*50 = 300', ' = 5']",True
train_GSM8K_Q2878,50,20,False,True,3,"[' (1500 / 75 = 20', ' (750 / 25 = 30', ' = 50']",False
train_GSM8K_Q2903,4,4,True,False,4,"[' 5*2 = 10', ' 10 + 20 = 30', ' 30 - 10 = 20']",False
train_GSM8K_Q2940,8,8,True,True,2,"['. 3*4 = 12', ' 12 - 4 = 8']",True
train_GSM8K_Q2969,3,4,False,True,2,"['3000 / 3 = 1000', '\nx = 3']",False
train_GSM8K_Q2974,10,10,True,False,3,"[' 60 / 3 = 20', ' 60 - 20 = 40', ' 40 / 4 = 10']",False
train_GSM8K_Q2998,900,900,True,True,4,"[' 2*100 = 200', ' 6*100 = 600', ' = 200']",True
train_GSM8K_Q3001,14,14,True,True,2,"[' 20 = 6', '\n\n20 - 6 = 14']",True
train_GSM8K_Q3007,100,25,False,True,2,"[' 50 + 50 = 100', '.\n100 - 50 = 50']",False
train_GSM8K_Q3024,2,2,True,False,0,[],False
train_GSM8K_Q3026,96,96,True,False,3,"[' 12*4 = 48', ' 16*3 = 48', ' 48 + 48 = 96']",False
train_GSM8K_Q3033,700,700,True,False,0,[],False
train_GSM8K_Q3090,5,9,False,True,3,"['\n\nx + 10x + 10x + 10x + 10x = 50', '\n\n9x = 50', '\n\nx = 5']",False
train_GSM8K_Q3103,1980,180,False,True,3,"[' 20*10 = 200', ' 200 - 2 = 198', ' = 1980']",False
train_GSM8K_Q3131,850,780,False,True,8,"[' = 60', ' = 240', ' = 60']",False
train_GSM8K_Q3191,4,210,False,False,0,[],False
train_GSM8K_Q3235,6230,6230,True,False,0,[],False
train_GSM8K_Q3236,43,43,True,False,2,"[' 93 - 30 = 63', ' 63 - 20 = 43']",False
train_GSM8K_Q3272,40,40,True,True,2,"[' = 10', ' + 30 = 40']",True
train_GSM8K_Q3382,85,85,True,False,0,[],False
train_GSM8K_Q3392,5,5,True,True,8,"[' = 1', ' = 5', ' = 1']",True
train_GSM8K_Q3405,305,355,False,False,2,"[' 300 + 30 = 330', '\n\n330 - 25 = 305']",False
train_GSM8K_Q3407,260,400,False,False,2,"[' 13*2 = 26', ' 26*10 = 260']",False
train_GSM8K_Q3418,35,35,True,True,3,"[' 3 + 7 + 4 + 6 = 20', ' 3 + 4 = 7', '. 7/20 = 0.35']",True
train_GSM8K_Q3437,3,9,False,True,10,"[' (1/4*12 = 3', ' (12 - 3 = 9', ' 1/6 + 1/4 = 1']",False
train_GSM8K_Q3459,1872,936,False,False,2,"[' 2*234 = 468', ' 4*468 = 1872']",False
train_GSM8K_Q3476,25,25,True,False,3,"[' 12 + 5 = 17', ' 12 - 4 = 8', ' 17 + 8 = 25']",False
train_GSM8K_Q3479,50,18,False,False,1,[' 3*8 = 24'],False
train_GSM8K_Q3524,30,30,True,True,3,"[' 200 = 120', ' 120 = 60', ' 60 = 30']",True
train_GSM8K_Q3541,3,3,True,False,2,"[' 2 + 1 + 2 = 5', ' 1 + 1 = 2']",False
train_GSM8K_Q3587,20,20,True,True,3,"[' / 5 = 10', ' 3*10 = 30', ' 50 - 30 = 20']",True
train_GSM8K_Q3594,20,20,True,False,0,[],False
train_GSM8K_Q3598,260,260,True,False,1,['\n80 + 60 + 120 = 260'],False
train_GSM8K_Q3604,900,900,True,False,0,[],False
train_GSM8K_Q3684,50,35,False,False,3,"[' 50 - 15 = 35', ' 25 + 35 + 40 = 100', ' 400 / 8 = 50']",False
train_GSM8K_Q3705,427,477,False,False,2,"[' 327 + 50 = 377', ' 377 + 50 = 427']",False
train_GSM8K_Q3767,4,200,False,False,4,"[' 20 + 9 = 29', ' 6/2 = 3', ' 5*8 = 40']",False
train_GSM8K_Q3806,1640,1640,True,True,1,[' = 12'],True
train_GSM8K_Q3855,8,8,True,False,2,"[' 4 + 6 = 10', ' 10 - 2 = 8']",False
train_GSM8K_Q3886,79,79,True,True,3,"[' = 39', ' = 40', ' = 79']",True
train_GSM8K_Q3899,117,117,True,False,0,[],False
train_GSM8K_Q3998,54,54,True,False,2,"[' 8*7 = 56', ' 56 - 2 = 54']",False
train_GSM8K_Q4000,2,2,True,False,3,"[' 4*5 = 20', ' 3*6 = 18', ' 20 - 18 = 2']",False
train_GSM8K_Q4018,200,200,True,False,0,[],False
train_GSM8K_Q4061,104,104,True,True,3,"[' 8*5 = 40', '2 = 144', ' 144 - 40 = 104']",True
train_GSM8K_Q4082,192,21,False,True,14,"[' 3*5 = 15', ' 3*2 = 6', ' 15 + 6 = 21']",False
train_GSM8K_Q4085,4,4,True,False,4,"[' 12*1 = 12', ' 12 - 2 = 10', ' 10*3/5 = 6']",False
train_GSM8K_Q4086,64,64,True,True,2,"[' 100 - 20% = 80', ' 80 - 20% = 64']",True
train_GSM8K_Q4087,160,160,True,True,3,"[' 3(50) = 150', ' x + 10 = 150', ' + 10 = 160']",True
train_GSM8K_Q4113,240,60,False,True,2,"[' = 40', ' = 40']",False
train_GSM8K_Q4138,15,15,True,False,2,"[' 12 + 4 = 16', ' 16 - 1 = 15']",False
train_GSM8K_Q4160,3,30,False,False,0,[],False
train_GSM8K_Q4171,55,80,False,False,0,[],False
train_GSM8K_Q4189,68,68,True,False,0,[],False
train_GSM8K_Q4203,2,45,False,False,0,[],False
train_GSM8K_Q4222,72,72,True,False,0,[],False
train_GSM8K_Q4224,2,2,True,False,0,[],False
train_GSM8K_Q4244,22000,22000,True,False,0,[],False
train_GSM8K_Q4256,5,5,True,True,3,"[' = 3', ' = 2', ' = 5']",True
train_GSM8K_Q4257,720,720,True,False,0,[],False
train_GSM8K_Q4265,50,50,True,True,5,"[' 5*3 = 15', ' 10*2 = 20', ' = 15']",True
train_GSM8K_Q4283,6,240,False,True,2,"[' = 4', ' = 80']",False
train_GSM8K_Q4287,60,50,False,False,2,"[' 80 + 10 = 90', ' 90 - 30 = 60']",False
train_GSM8K_Q4347,6,14,False,True,5,"[' = 8', ' = 14', ' = 2']",False
train_GSM8K_Q4354,10,10,True,False,0,[],False
train_GSM8K_Q4359,8,8,True,True,3,"[' = 4', ' = 40', ' = 2']",True
train_GSM8K_Q4370,8,9,False,False,0,[],False
train_GSM8K_Q4382,5,4,False,False,3,"[' 8*8 = 64', ' 64 / 2 = 32', ' 48 / 32 = 1.5']",False
train_GSM8K_Q4389,40,2,False,True,6,"[' 5*2 = 10', ' 5*3 = 15', ' 5*1 = 5']",False
train_GSM8K_Q4425,160,136,False,False,1,[' 64 + 96 = 160'],False
train_GSM8K_Q4437,780,780,True,False,0,[],False
train_GSM8K_Q4470,0,630,False,False,0,[],False
train_GSM8K_Q4476,17,17,True,True,4,"[' = 12', ' + 18 + 21 = 51', ' = 51']",True
train_GSM8K_Q4492,63,63,True,False,2,"[' 3*3 = 9', ' 7*9 = 63']",False
train_GSM8K_Q4525,30,30,True,False,3,"[' 60 - 10 = 50', ' 50 / 2 = 25', ' 25 + 5 = 30']",False
train_GSM8K_Q4569,30,40,False,False,0,[],False
train_GSM8K_Q4586,10,10,True,False,0,[],False
train_GSM8K_Q4596,9600,9600,True,True,2,"[' 4*200 = 800', ' x 12 = 9600']",True
train_GSM8K_Q4607,320,320,True,True,2,"[') = 400', ' = 320']",True
train_GSM8K_Q4618,55,55,True,False,0,[],False
train_GSM8K_Q4643,23,23,True,True,3,"[' 34 + 32 = 66', ', X = 89', ' - 66 = 23']",True
train_GSM8K_Q4666,20,20,True,False,3,"[' 80 / 2 = 40', ' 80 / 4 = 20', ' 80 - 40 - 20 = 20']",False
train_GSM8K_Q4686,11,5,False,False,2,"[' 10 - 2 = 8', ' 8 + 3 = 11']",False
train_GSM8K_Q4700,0,42,False,True,2,"[' = 0', ' = 0']",False
train_GSM8K_Q4741,76,76,True,False,3,"[' 3*12 = 36', ' 2*20 = 40', ' 36 + 40 = 76']",False
train_GSM8K_Q4753,10,10,True,True,8,"[' 20 - 6 = 14', ' 14 - 8 = 6', ' x 100\n= 8']",True
